,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,1.8939448356628419,0.5678833333333333,11.941557884216309,27.7244393825531,0.01,1000,True
1,1,2,1.749188623825709,0.7109166666666666,11.212896347045898,85.20437812805176,0.01,1000,True
2,1,3,1.7206909040609994,0.7404333333333334,11.462969779968262,96.8134868144989,0.01,1000,True
3,1,4,1.692829922835032,0.7681166666666667,11.288856029510498,108.26764965057373,0.01,1000,True
4,1,5,1.681624162197113,0.7793333333333333,11.35224986076355,119.75453901290894,0.01,1000,True
5,2,1,1.9108964204788208,0.54825,11.3479163646698,12.116870164871216,0.01,1000,False
6,2,2,1.7479964156945547,0.7130333333333333,11.547102689743042,23.803967237472534,0.01,1000,False
7,2,3,1.7139184415340423,0.7467833333333334,11.24388861656189,35.232053995132446,0.01,1000,False
8,2,4,1.6735081017017364,0.7873666666666667,11.233896970748901,46.614092111587524,0.01,1000,False
9,2,5,1.6570852021376292,0.80365,11.262124061584473,58.01584267616272,0.01,1000,False
10,3,1,1.9933340867360434,0.4723333333333333,10.911853313446045,12.35657262802124,0.01,2000,True
11,3,2,1.748757831255595,0.7113166666666667,11.028952836990356,23.518714427947998,0.01,2000,True
12,3,3,1.7079109827677408,0.7530666666666667,10.923280000686646,34.588279247283936,0.01,2000,True
13,3,4,1.6817723790804544,0.77995,11.081982135772705,45.85634136199951,0.01,2000,True
14,3,5,1.6673049449920654,0.7947,11.11918568611145,57.146461963653564,0.01,2000,True
15,4,1,1.9923246502876282,0.47073333333333334,10.915945529937744,12.349629163742065,0.01,2000,False
16,4,2,1.7310060501098632,0.73035,11.092529058456421,23.601670026779175,0.01,2000,False
17,4,3,1.6934273759524028,0.7680666666666667,11.067846298217773,34.83906173706055,0.01,2000,False
18,4,4,1.6702397346496582,0.79165,10.969387292861938,45.955662965774536,0.01,2000,False
19,4,5,1.6515771786371867,0.8103,10.82496452331543,56.9152672290802,0.01,2000,False
20,5,1,2.110579333702723,0.4050666666666667,11.470991849899292,12.264882564544678,0.001,1000,True
21,5,2,1.8051043689250945,0.6654166666666667,11.332380294799805,23.75629210472107,0.001,1000,True
22,5,3,1.767895221710205,0.6975333333333333,11.401156425476074,35.30915641784668,0.001,1000,True
23,5,4,1.753929219643275,0.71045,11.24027681350708,46.68806338310242,0.001,1000,True
24,5,5,1.7373962422211966,0.7275,11.098303079605103,57.92599296569824,0.001,1000,True
25,6,1,2.1019650677839916,0.3804166666666667,11.338382244110107,12.108322143554688,0.001,1000,False
26,6,2,1.786723893880844,0.68265,11.291358947753906,23.555094480514526,0.001,1000,False
27,6,3,1.7398512323697408,0.72695,11.295052289962769,34.98538661003113,0.001,1000,False
28,6,4,1.7185222407182057,0.74635,11.307158470153809,46.448129177093506,0.001,1000,False
29,6,5,1.704724234342575,0.7597833333333334,11.440747022628784,58.05497097969055,0.001,1000,False
30,7,1,2.2511348724365234,0.23548333333333332,11.428417682647705,12.84961462020874,0.001,2000,True
31,7,2,1.9283486962318421,0.5851333333333333,11.492248296737671,24.482487440109253,0.001,2000,True
32,7,3,1.7821506937344869,0.6906333333333333,11.2080078125,35.925864696502686,0.001,2000,True
33,7,4,1.753649147351583,0.71505,11.174099206924438,47.23659896850586,0.001,2000,True
34,7,5,1.7370642066001891,0.7303,11.235933065414429,58.63011121749878,0.001,2000,True
35,8,1,2.261758899688721,0.30823333333333336,11.141185760498047,12.531467199325562,0.001,2000,False
36,8,2,1.9379044016202291,0.5666833333333333,11.179085969924927,23.87611150741577,0.001,2000,False
37,8,3,1.8460451443990071,0.61935,11.011200428009033,35.04189682006836,0.001,2000,False
38,8,4,1.8096739013989767,0.6572166666666667,11.08669400215149,46.272709369659424,0.001,2000,False
39,8,5,1.7494228998819987,0.7193,10.964004278182983,57.41523504257202,0.001,2000,False
